18
1;1;4;1;1;2;5000111122223332;1;13012020
2;2;84;2;2;3;4000111122223333;1;13012020
3;3;420;3;3;1;4000111122223331;1;14012020
4;5;22.0;9;60;3;4406632419324152;1;25012020
5;9;7.8;1;62;13;4406646849854604;1;25012020
6;2;2.66;2;65;16;4406553211445698;1;25012020
7;6;33.0;3;45;3;4406217679603047;1;25012020
8;1;40.0;1;47;2;4000111122223331;1;25012020
9;0;1.0;0;0;4;4000111122223331;0;25012020
10;1;1.0;1;41;4;4000111122223331;1;25012020
11;9;15.0;1;39;1;4406646849854604;1;27012020
12;0;10.0;1;0;2;4406646849854604;0;27012020
13;9;2.0;1;41;2;4406646849854604;1;27012020
14;0;15.0;0;0;6;4406646849854604;0;27012020
15;0;54.0;0;0;2;4253843435153513;0;27012020
16;0;3.0;0;0;2;5412211589322230;0;27012020
17;7;3.0;3;23;2;5412211589322230;1;27012020
